Nombre,Partido,Estado,Cabecera Municipal
Alavez Ruiz Aleida,MORENA,Ciudad de México,Iztapalapa
Alfaro Morales Maria Isabel,MORENA,Hidalgo,Tulancingo de Bravo
Almazán Burgos Karla Yuritzi,MORENA,Estado de México,Texcoco de Mora
Almazán Muñoz Odette Nayeri,MORENA,Puebla,Ciudad Serdán
Alvarado Murguía Rosa Maria,MORENA,Veracruz, 
Ambrocio Gachuz José Guadalupe,MORENA,Morelos,Yautepec
Andazola Gómez Socorro Irma,MORENA,Baja California,Tijuana
Antonio Altamirano Carol,MORENA,Oaxaca,Salina Cruz
Arellano Reyes Martha Nabetse,MORENA,Sinaloa, 
Armendáriz Guerra Carmen Patricia,MORENA,Chiapas, 
Arreola Martínez Martha Alicia,MORENA,Durango,Guadalupe Victoria
Arriaga Rojas Justino Eugenio,MORENA,Guanajuato,Salamanca
Ascencio Ortega Reyna Celeste,MORENA,Michoacán, 
Atanacio Luna Raymundo,MORENA,Puebla,Tepeaca
Avila Flores Claudia Selene,MORENA,Ciudad de México, 
Ayala Leyva Ana Elizabeth,MORENA,Sinaloa,Los Mochis
Aysa Damas Carlos Miguel,MORENA,Campeche, 
Baldenebro Arredondo Manuel de Jesus,MORENA,Sonora,San Luis Río Colorado
Barajas García Martha,MORENA,San Luis Potosí, 
Barboza Llamas Maximiano,MORENA,Jalisco, 
Barrera Puc Rocío Natalí,MORENA,Yucatán, 
Barrera Toledo Jorge Alberto,MORENA,Morelos,Cuernavaca
Batun Chulim Wilbert Alberto,MORENA,Quintana Roo,Cancún
Bautista Bravo Juan Angel,MORENA,Estado de México,Cd. Nezahualcóyotl
Bautista Hernández Esteban,MORENA,Veracruz,Cosoleacaque
Bautista Pelaéz Maria del Carmen,MORENA,Oaxaca,Puerto Escondido
Bertín Sandoval Juan Isaías,MORENA,Baja California,Mexicali
Blancas Mercado Bruno,MORENA,Jalisco,Puerto Vallarta
Bonilla Herrera Raquel,MORENA,Veracruz,Poza Rica de Hidalgo
Borrego Adame Francisco Javier,MORENA,Coahuila,San Pedro
Briano Borunda Jesús Roberto,MORENA,Chihuahua, 
Brito Mazariegos Ismael,MORENA,Chiapas,Comitán de Domínguez
Bustamante Castellanos Adriana,MORENA,Chiapas,Tuxtla Gutiérrez
Cabada Alvidrez Hector Armando,MORENA,Chihuahua, 
Camacho Reynoso Martha Azucena,MORENA,Estado de México,Lerma de Villada
Candelario Figueroa Luz Adriana,MORENA,Jalisco,Ciudad Guzmán
Cano González Susana,MORENA,Estado de México, 
Cantón Zetina Óscar,MORENA,Tabasco, 
Carrasco Godínez Nelly Minerva,MORENA,Estado de México,Nicolás Romero
Carrazco Macias Olegaria,MORENA,Sinaloa,Mazatlán
Carrillo Cubillas Mario Miguel,MORENA,Puebla,Atlixco
Carvajal Hidalgo Alejandro,MORENA,Puebla,Heroica Puebla de Zaragoza
Castellanos Polanco Favio,MORENA,Guanajuato, 
Castillo Secundino Celestina,MORENA,Estado de México, 
Chapman Moreno Manuel Guillermo,MORENA,Sinaloa, 
Chavez Rojas Olga Leticia,MORENA,Nuevo León, 
Chávez Treviño Andrea,MORENA,Chihuahua, 
Chavira de la Rosa María Guadalupe,MORENA,Ciudad de México,Tláhuac
Cisneros Luján Angélica Ivonne,MORENA,Veracruz, 
Collado Crisolia Veronica,MORENA,Estado de México, 
Contreras Castillo Armando,MORENA,Oaxaca, 
Contreras García Janicie,MORENA,Tabasco,Paraíso
Contreras Montes Gustavo,MORENA,Estado de México,Tultitlán de Mariano Escobedo
Corona Arvizu Armando,MORENA,Estado de México,Ixtapaluca
Coutiño Gutiérrez Leonor,MORENA,Chiapas, 
Cruz Santos Flora Tania,MORENA,Veracruz,Coatzacoalcos
De la Cruz Lima José Miguel,MORENA,Estado de México, 
Del Castillo Ibarra Erika Vanessa,MORENA,Ciudad de México,Gustavo A. Madero
Del Razo Montiel Steve Esteban,MORENA,Tlaxcala,Zacatelco
Díaz García Karla Estrella,MORENA,Nuevo León, 
Diaz Vilchis Catalina,MORENA,Estado de México, 
Domínguez Escobar Angel,MORENA,Oaxaca,San Juan Bautista Tuxtepec
Domínguez Flores Rosalinda,MORENA,Oaxaca, 
