,Distrito,Cabecera Municipal,Diputado,Partido,Estado
0,1,Rincón de Romos,Fernando Marmolejo Montoya,Partido del Trabajo,Aguascalientes
1,2,El Llano,Juan Luis Jasso Hernández,Movimiento Regeneración Nacional,Aguascalientes
2,3,Pabellón de Arteaga,Cuauhtémoc Escobedo Tejada,Partido de la Revolución Democrática,Aguascalientes
3,4,San Francisco de los Romo,José de Jesús Altamira Acosta,Partido Acción Nacional,Aguascalientes
4,5,Aguascalientes,Raúl Silva Perezchica,Partido Acción Nacional,Aguascalientes
5,6,Aguascalientes,Jaime González de León,Partido Acción Nacional,Aguascalientes
6,7,Jesús María,Laura Patricia Ponce Luna,Partido Acción Nacional,Aguascalientes
7,8,Calvillo,Adán Valdivia López,Partido Acción Nacional,Aguascalientes
8,9,Aguascalientes,Alma Hilda Medina Macías,Partido Acción Nacional,Aguascalientes
9,10,Aguascalientes,Nancy Xóchitl Macías Pachecoa,Movimiento Ciudadano,Aguascalientes
10,11,Aguascalientes,María de Jesús Díaz Marmolejo,Partido Acción Nacional,Aguascalientes
11,12,Aguascalientes,Sanjuana Martínez Meléndez,Partido de la Revolución Democrática,Aguascalientes
12,13,Aguascalientes,Jedsabel Sánchez Montes,Partido Acción Nacional,Aguascalientes
13,14,Aguascalientes,Luis Enrique García López,Partido Acción Nacional,Aguascalientes
14,15,Aguascalientes,Mayra Guadalupe Torres Mercado,Partido Acción Nacional,Aguascalientes
15,16,Aguascalientes,Emanuelle Sánchez Nájera,Partido de la Revolución Democrática,Aguascalientes
16,17,Aguascalientes,Salvador Maximiliano Ramírez Hernández,Partido Acción Nacional,Aguascalientes
17,18,Aguascalientes,Juan Pablo Gómez Diosdado,Partido Acción Nacional,Aguascalientes
18,1,San José del Cabo,Eda María Palacios Márquez,Partido de Renovación Sudcaliforniana,Baja California Sur
19,2,La Paz,María Guadalupe Moreno Higuera,Movimiento Regeneración Nacional,Baja California Sur
20,3,La Paz,Guadalupe Vázquez Jacinto,Movimiento Regeneración Nacional,Baja California Sur
21,4,La Paz,José María Avilés Castro,Movimiento Regeneración Nacional,Baja California Sur
22,5,La Paz,Armando Martínez Vega,Partido Acción Nacional,Baja California Sur
23,6,La Paz,Eduardo Valentín Van Wormer Castro,Movimiento Regeneración Nacional,Baja California Sur
24,7,San José del Cabo,Luis Armando Díaz,Partido del Trabajo,Baja California Sur
25,8,Cabo San Lucas,Eufrosina López Velasco,Movimiento Regeneración Nacional,Baja California Sur
26,9,Cabo San Lucas,Gabriela Montoya Terrazas,Partido del Trabajo,Baja California Sur
27,10,Ciudad Constitución,Fernando Hoyos Aguilar,Partido del Trabajo,Baja California Sur
28,11,Ciudad Constitución,Enrique Ríos Cruz,Movimiento Regeneración Nacional,Baja California Sur
29,12,San José del Cabo,Christian Agúndez Gómez,Partido del Trabajo,Baja California Sur
30,13,Loreto,Paz del Alma Ochoa Amador,Partido Revolucionario Institucional,Baja California Sur
31,14,Guerrero Negro,Teresita de Jesús Valentín Vázquez,Movimiento Regeneración Nacional,Baja California Sur
32,15,La Paz,José Rigoberto Mares Aguilar,Partido Acción Nacional,Baja California Sur
33,16,Cabo San Lucas,Juan Pérez Cayetano,Movimiento Regeneración Nacional,Baja California Sur
34,1,Victoria de Durango,Alejandro Mojica Narváez,Partido Acción Nacional,Durango
35,2,Victoria de Durango,Ricardo Fidel Pacheco Rodríguez,Partido Revolucionario Institucional,Durango
36,3,Victoria de Durango,Fernando Londres Botello Castro,Partido de la Revolución Democrática,Durango
37,4,Victoria de Durango,Gabriela Hernández López,Partido Revolucionario Institucional,Durango
38,5,Victoria de Durango,Silvia Patricia Jiménez Delgado,Partido Acción Nacional,Durango
