,Municipio,Municipal,Estado,Gobernador,Partido
0,Acambay,Maribel Alcantara Nuñez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
1,Acolman,Rigoberto Cortes Melgoza,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
2,Aculco,Jorge Alfredo Osornio Victoria,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
3,Almoloya de Alquisiras,Leopoldo Dominguez Flores,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
4,Almoloya de Juarez,Oscar Sanchez Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
5,Almoloya del Rio,Esmeralda Gonzalez Lagunas,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
6,Amanalco,Maria Elena Martinez Robles,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
7,Amatepec,Obed Santos Rojo,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
8,Amecameca,Ivett Topete Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
9,Apaxco,Jesus Gaspar Montiel Rodriguez,Estado de Mexico,Alfredo del Mazo Maza,Fuerza por México
10,Atenco,Talia Citlali Cruz Sanchez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
11,Atizapan,Isaac Reyes Salazar,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
12,Atizapan de Zaragoza,Pedro David Rodriguez Villegas,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
13,Atlacomulco,Marisol del Socorro Arias Flores,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
14,Atlautla,Raul Navarro Rivera,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
15,Axapusco,Miriam Coronel Meneses,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
16,Ayapango,Rene Martin Velazquez Soriano,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
17,Calimaya,Oscar Hernandez Meza,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
18,Capulhuac,Cassimiro Emanuel Alvarado Diaz,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
19,Coacalco de Berriozabal,David Sanchez Isidoro,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
20,Coatepec Harinas,Marco Antonio Diaz Juarez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
21,Cocotitlan,Felix Guzman Florin,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Ciudadano
22,Coyotepec,Andres Oscar Montoya Martinez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
23,Cuautitlan,Aldo Ledezma Reyna,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
24,Chalco,Jose Miguel Gutierrez Morales,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
25,Chapa de Mota,Aniceto Pastor Cruz Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
26,Chapultepec,Laura Amalia Gonzalez Martinez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
27,Chiautla,Maricela Melo Rojas,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
28,Chicoloapan,Nancy Jazmin Gomez Vargas,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
29,Chiconcuac,Agustina Catalina Velazco Vicuña,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
30,Chimalhuacan,Xochitl Flores Jimenez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
31,Donato Guerra,Maria del Carmen Albarran Gabriel,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
32,Ecatepec de Morelos,Fernando Vilchis Contreras,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
33,Ecatzingo,Rebeca Perez Martinez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
34,Huehuetoca,Milton Castañeda Diaz,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
35,Hueypoxtla,Diego Vargas Colin,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
36,Huixquilucan,Romina Contreras Carrasco,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
37,Isidro Fabela,Astrid Anita Davila Ordoñez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
38,Ixtapaluca,Felipe Rafael Avizu de la Luz,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
39,Ixtapan de la Sal,Edgar Misael Ocampo Ayala,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
40,Ixtapan del Oro,Benigro Arroyo Bautista,Estado de Mexico,Alfredo del Mazo Maza,Partido del Trabajo
41,Ixtlahuaca,Abuzeid Lozano Castañeda,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
42,Xalatlaco,Abel Flores Guzman,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
43,Jaltenco,Maria del Rosario Payne Islas,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
44,Jilotepec,Rodolfo Nogues Barajas,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
45,Jilotzingo,Ana Teresa Casas Gonzalez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
46,Jiquipilco,Felipe de Jesus Sanchez Davila,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
47,Jocotitlan,Jose Jesus Cedillo Gonzalez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
48,Joquicingo,Rausel Cevantes Flores,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
49,Juchitepec,Marisol Nava Linares,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
50,Lerma,Miguel Angel Ramirez Ponce,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
51,Malinalco,Juan Antonio Mendoza Pedroza,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
52,Melchor Ocampo,Victoria Aurelia Viquez Vega,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
53,Metepec,Fernando Gustavo Flores Fernandez,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
54,Mexicaltzingo,Ariadne Saray Benitez Espinoza,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
55,Morelos,Miriam Nancy Garcia Antonio,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
56,Naucalpan de Juarez,Angelica Moya Marin,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
57,Nextlalpan,Lorena Alameda Juarez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
58,Nezahualcoyotl,Adolfo Cerqueda Rebollo,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
59,Nicolas Romero,Armando Navarrete Lopez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
60,Nopaltepec,Gumaro Waldo Lopez,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
61,Ocoyoacac,Samuel Verdeja Ruiz,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
62,Ocuilan,Wilfrido Perez Segura,Estado de Mexico,Alfredo del Mazo Maza,Partido Encuentro Solidario
63,El Oro,Ruth Salazar Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
64,Otumba,Hiliarion Coronel Lemus,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
65,Otzoloapan,Yureni Nuñez Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
66,Otzolotepec,Erika Sevilla Alvarado,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
67,Ozumba,Valentin Martinez Castillo,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
68,Papalotla,Rodrigo Ruiz Martinez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
69,La Paz,Cristina Gonzalez Cruz,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
70,Polotitlan,Teresita Sanchez Barcena,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
71,Rayon,Erick Vladimir Cedillo Hinojosa,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
72,San Antonio la Isla,Lizhet Marlene Sandoval Colindres,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
73,San Felipe del Progreso,Javier Jeronimo Apolonio,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
74,San Martin de las Piramides,Edgar Martinez Barragan,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
75,San Mateo Atenco,Ana Aurora Muñiz Neyra,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
76,San Simon de Guerrero,Sara Mora de Jesus,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
77,Santo Tomas,Maria del Rosario Matias Esquivel,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
78,Soyaniquilpan de Juarez,Jesus Espinosa Arciniega,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
79,Sultepec,Jose Alberto Mejia Santa Olalla,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
80,Tecamac,Mariela Gutierrez Escalante,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
81,Tejupilco,Rigoberto Lopez Rivera,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
82,Temamatla,Jose Alfredo Vallejo Gama,Estado de Mexico,Alfredo del Mazo Maza,Redes Sociales Progresistas
83,Temascalapa,Quirino Meneses Vivaldo,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
84,Temascalcingo,Jose Luis Espinoza Navarrete,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
85,Temascaltepec,Carlos Gonzalez Berra,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
86,Temoaya,Nelly Brigada Rivera Sanchez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
87,Tenancingo,Hector Gordillo Sanchez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
88,Tenango del Aire,Roberto Avila Ventura,Estado de Mexico,Alfredo del Mazo Maza,Partido Verde Ecologista de México
89,Tenango del Valle,Roberto Bautista Arellano,Estado de Mexico,Alfredo del Mazo Maza,Partido del Trabajo
90,Teoloyucan,Juan Carlos Padilla Uribe,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
91,Teotihuacan,Mario Paredes de la Torre,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
92,Tepetlaoxtoc,Ismael Olivares Vazquez,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
93,Tepetlixpa,Abelardo Rodriguez Garcia,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Ciudadano
94,Tepotzotlan,Maria de los Angeles Zuppa,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Ciudadano
95,Tequixquiac,Luis Raul Meneses Garcia,Estado de Mexico,Alfredo del Mazo Maza,Fuerza por México
96,Texcaltitlan,Javier Lujano Huerta,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
97,Texcalyacac,Xochitl Maribel Ramirez Bermejo,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
98,Texcoco,Sandra Luz Falcon Venegas,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
99,Tezoyuca,Edgar Uriel Morales Avila,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
100,Tianguistenco,Diego Eric Moreno Valle,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
101,Timilpan,Isaias Lugo Garcia,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
102,Tlalmanalco,Luis Enrique Sanchez Reyes,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Ciudadano
103,Tlalnepantla de Baz,Marco Antonio Rodriguez Hurtado,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
104,Tlatlaya,Crisofo Hernandez Mena,Estado de Mexico,Alfredo del Mazo Maza,Partido de la Revolución Democrática
105,Toluca,Raymundo Egar Martinez Carbajal,Estado de Mexico,Alfredo del Mazo Maza,Partido Revolucionario Institucional
106,Tonatico,Evelia Marlem Ayala Sanchez,Estado de Mexico,Alfredo del Mazo Maza,Partido Acción Nacional
107,Tultepec,Ramio Sergio Luna Cortes,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
108,Tultitlan,Elena Garcia Martinez,Estado de Mexico,Alfredo del Mazo Maza,Movimiento Regeneración Nacional
